product_key,product_sku,product_name,product_description,brand,subcategory,category,department,uom,pack_size,weight_kg,dimensions,color,size,style,material,is_active,is_discontinued,standard_cost,list_price,current_flag,effective_from,effective_to,row_created_date,row_updated_date,category_id
1,SKU-00001,Dell Audio,Dell Audio in White (Sport) - Plastic build.,Dell,Audio,Electronics,Retail,EA,1 Unit,0.46,14.4x23.0x8.1 cm,White,M,Sport,Plastic,1,0,28523.28,44734.83,1,3/29/2021,,3/29/2021,5/5/2021,1.00
2,SKU-00002,Levis Shoes Pro,Levis Shoes in Beige (Classic) - Cotton build.,Levis,Shoes,Apparel,Retail,PCS,5 Pack,1.48,36.0x21.0x2.7 cm,Beige,XL,Classic,Cotton,1,0,498.79,805.66,1,10/16/2025,,10/16/2025,12/1/2025,2.00
3,SKU-00003,Nestle Staples,Nestle Staples in Red (Sport) - Wood build.,Nestle,Staples,Grocery,Retail,KG,500 ML,2.31,30.5x11.9x12.6 cm,Red,L,Sport,Wood,1,0,166.11,274.96,1,7/31/2023,,7/31/2023,8/6/2023,3.00
4,SKU-00004,Hawkins Decor Basic,Hawkins Decor in Green (Sport) - Leather build.,Hawkins,Decor,Home,Retail,EA,500 ML,11.38,31.2x27.6x21.7 cm,Green,S,Sport,Leather,1,0,5257.18,7494.3,1,12/13/2021,,12/13/2021,12/27/2021,4.00
6,SKU-00006,Nivea Fragrance Basic,Nivea Fragrance in Grey (Casual) - Cotton build.,Nivea,Fragrance,Beauty,Retail,KG,1 Unit,1.16,15.7x4.3x4.0 cm,Grey,XS,Casual,Cotton,1,0,479.93,634.01,1,8/9/2025,,8/9/2025,8/16/2025,5.00
7,SKU-00007,Dell Mobile Phones Plus,Dell Mobile Phones in White (Sport) - Plastic build.,Dell,Mobile Phones,Electronics,Retail,EA,2 KG,0.54,34.6x13.9x6.2 cm,White,XL,Sport,Plastic,1,0,21763.49,29041.87,1,2/11/2024,,2/11/2024,3/2/2024,1.00
8,SKU-00008,Puma Jeans Pro,Puma Jeans in White (Formal) - Leather build.,Puma,Jeans,Apparel,Retail,L,1 Unit,0.11,28.6x30.1x1.6 cm,White,L,Formal,Leather,1,0,2220.1,3150.15,1,8/24/2022,,8/24/2022,11/20/2022,2.00
9,SKU-00009,Amul Snacks,Amul Snacks in Blue (Casual) - Cotton build.,Amul,Snacks,Grocery,Retail,EA,10 Pack,4.36,23.4x29.6x24.7 cm,Blue,S,Casual,Cotton,1,0,1048.53,1705.76,1,9/3/2023,,9/3/2023,9/24/2023,3.00
10,SKU-00010,Ikea Kitchen Plus,Ikea Kitchen in Grey (Sport) - Alloy build.,Ikea,Kitchen,Home,Retail,KG,2 Pack,8.79,71.6x50.9x42.4 cm,Grey,XXL,Sport,Alloy,1,0,2508.75,3666.93,1,4/1/2025,,4/1/2025,6/24/2025,4.00
11,SKU-00011,Nivea Hair Care Max,Nivea Hair Care in Green (Modern) - Plastic build.,Nivea,Hair Care,Beauty,Retail,PCS,2 KG,0.54,15.1x12.2x8.4 cm,Green,XL,Modern,Plastic,1,0,3340.73,4797.44,1,8/22/2022,,8/22/2022,10/11/2022,5.00
12,SKU-00012,LG Audio Plus,LG Audio in White (Casual) - Leather build.,LG,Audio,Electronics,Retail,EA,1 Unit,3.2,19.1x24.0x5.1 cm,White,S,Casual,Leather,1,0,22194.95,35722.61,1,3/25/2021,,3/25/2021,4/30/2021,1.00
13,SKU-00013,Levis Jeans,Levis Jeans in Beige (Formal) - Cotton build.,Levis,Jeans,Apparel,Retail,L,10 Pack,1.1,20.8x34.8x3.0 cm,Beige,XS,Formal,Cotton,1,0,3284.73,4858.49,1,2/23/2022,,2/23/2022,5/9/2022,2.00
14,SKU-00014,Amul Beverages Pro,Amul Beverages in Blue (Formal) - Leather build.,Amul,Beverages,Grocery,Retail,KG,5 Pack,4.12,22.3x19.0x12.3 cm,Blue,S,Formal,Leather,1,0,1001.6,1414.06,1,5/12/2023,,5/12/2023,7/25/2023,3.00
16,SKU-00016,Hawkins Decor,Hawkins Decor in Black (Classic) - Cotton build.,Hawkins,Decor,Home,Retail,L,1 KG,14.54,109.3x48.7x11.3 cm,Black,XS,Classic,Cotton,1,0,2714.49,4309.14,1,12/31/2024,,12/31/2024,1/27/2025,4.00
17,SKU-00017,L'Oreal Hair Care Plus,L'Oreal Hair Care in Red (Classic) - Cotton build.,L'Oreal,Hair Care,Beauty,Retail,EA,1 KG,1.19,15.6x8.6x10.5 cm,Red,M,Classic,Cotton,1,0,2772.74,4343.46,1,8/19/2025,,8/19/2025,9/16/2025,5.00
19,SKU-00019,Samsung Audio Basic,Samsung Audio in Silver (Sport) - Steel build.,Samsung,Audio,Electronics,Retail,L,1 Unit,4.29,18.6x27.1x9.8 cm,Silver,XS,Sport,Steel,1,0,16019.44,26103.63,1,8/27/2023,,8/27/2023,11/1/2023,1.00
20,SKU-00020,Adidas T-Shirts Plus,Adidas T-Shirts in Blue (Sport) - Leather build.,Adidas,T-Shirts,Apparel,Retail,L,2 Pack,0.3,45.3x17.8x3.0 cm,Blue,M,Sport,Leather,1,0,2593.51,3791.53,1,1/2/2023,,1/2/2023,1/10/2023,2.00
21,SKU-00021,Fortune Staples Basic,Fortune Staples in Green (Sport) - Alloy build.,Fortune,Staples,Grocery,Retail,L,5 Pack,3.69,15.1x29.4x8.7 cm,Green,XL,Sport,Alloy,1,0,953.18,1501.97,1,6/29/2025,,6/29/2025,7/27/2025,3.00
23,SKU-00023,Ikea Lighting Max,Ikea Lighting in Gold (Casual) - Cotton build.,Ikea,Lighting,Home,Retail,PCS,10 Pack,16.58,112.5x41.8x49.7 cm,Gold,L,Casual,Cotton,1,0,1201.94,1685.68,1,2/17/2022,,2/17/2022,3/30/2022,4.00
24,SKU-00024,Nivea Hair Care,Nivea Hair Care in Green (Casual) - Alloy build.,Nivea,Hair Care,Beauty,Retail,KG,10 Pack,1.23,12.5x8.4x14.2 cm,Green,S,Casual,Alloy,1,0,3027.04,4388.58,1,1/21/2021,,1/21/2021,4/5/2021,5.00
25,SKU-00025,LG Audio Plus,LG Audio in Gold (Modern) - Polyester build.,LG,Audio,Electronics,Retail,KG,5 Pack,0.54,37.3x8.3x9.4 cm,Gold,S,Modern,Polyester,1,0,9738.5,15385.5,1,8/15/2023,,8/15/2023,8/19/2023,1.00
26,SKU-00026,Levis Shoes,Levis Shoes in Grey (Classic) - Plastic build.,Levis,Shoes,Apparel,Retail,PCS,500 ML,1.46,26.7x17.4x2.0 cm,Grey,M,Classic,Plastic,1,0,1309.41,1670.32,1,7/9/2025,,7/9/2025,9/17/2025,2.00
28,SKU-00028,Fortune Staples Plus,Fortune Staples in Green (Formal) - Polyester build.,Fortune,Staples,Grocery,Retail,PCS,2 Pack,8.94,36.3x25.5x11.1 cm,Green,XXL,Formal,Polyester,1,0,767.31,1015.44,1,4/2/2023,,4/2/2023,6/29/2023,3.00
53,SKU-00028,Fortune Staples Plus,Fortune Staples in Green (Formal) - Polyester build.,Fortune,Staples,Grocery,Retail,PCS,2 Pack,8.94,36.3x25.5x11.1 cm,Green,XXL,Formal,Polyester,1,0,758.03,992.33,0,9/9/2022,1/1/2023,9/9/2022,1/1/2023,3.00
29,SKU-00029,Hawkins Lighting Max,Hawkins Lighting in White (Casual) - Polyester build.,Hawkins,Lighting,Home,Retail,L,1 KG,18.18,102.2x22.9x52.7 cm,White,XL,Casual,Polyester,1,0,5783.76,7970.55,1,11/30/2023,,11/30/2023,12/16/2023,4.00
30,SKU-00030,L'Oreal Fragrance Basic,L'Oreal Fragrance in Beige (Formal) - Alloy build.,L'Oreal,Fragrance,Beauty,Retail,KG,5 Pack,1.51,18.4x6.3x4.7 cm,Beige,XXL,Formal,Alloy,1,0,2264.68,3498.16,1,11/21/2022,,11/21/2022,11/22/2022,5.00
31,SKU-00031,Sony Laptops Max,Sony Laptops in Gold (Sport) - Plastic build.,Sony,Laptops,Electronics,Retail,L,2 KG,0.92,9.8x18.1x9.6 cm,Gold,XL,Sport,Plastic,1,0,21405.38,27253.97,1,2/6/2022,,2/6/2022,4/14/2022,1.00
