store_key,location_code,store_code,store_name,store_type,store_format,address_line1,address_line2,city,state,postal_code,country,region,district,territory,store_size_sqft,opening_date,remodel_date,manager_name,phone,email,latitude,longitude,is_24_hours,has_parking,parking_spaces,current_flag,effective_from,effective_to,row_created_date,row_updated_date
1,MUM_MH_400001,STR0001,Pune Flagship,Retail,Flagship,"895, Pune Main Rd",A Block,Pune,Maharashtra,411001,India,West,Pune Zone-5,Maharashtra-2,39134,8/7/2024,,Neha Chopra,-150410,str0001@stores.example.com,18.5027524,73.8593394,0,1,44,1,8/7/2024 0:00,,8/8/2024 7:00,2/4/2025 0:00
2,DEL_DL_110001,STR0002,Bhubaneswar Express,Pop-up,Express,"92, Bhubaneswar Main Rd",B Block,Bhubaneswar,Odisha,751001,India,East,Bhubaneswar Zone-4,Odisha-3,824,3/20/2025,,Varun Bose,-134569,str0002@stores.example.com,20.2974172,85.818064,0,0,0,1,3/20/2025 0:00,,3/20/2025 23:00,4/23/2025 0:00
121,BLR_KA_560001,STR0002,Bhubaneswar Express,Pop-up,Express,"92, Bhubaneswar Main Rd",B Block,Bhubaneswar,Odisha,751001,India,East,Bhubaneswar Zone-4,Odisha-3,778,3/20/2025,,Vikram Rao,-134569,str0002@stores.example.com,20.2974172,85.818064,0,0,0,0,1/28/2022 0:00,1/5/2025 0:00,1/29/2022 8:00,1/5/2025 18:00
3,HYD_TS_500001,STR0003,Ranchi Superstore,FC,Superstore,"536, Ranchi Main Rd",C Block,Ranchi,Jharkhand,834001,India,East,Ranchi Zone-4,Jharkhand-3,53695,9/13/2022,,Rina Gupta,-131995,str0003@stores.example.com,23.3435638,85.3046382,0,1,124,1,9/13/2022 0:00,,9/14/2022 5:00,4/13/2023 0:00
4,CHN_TN_600001,STR0004,Pune Express,FC,Express,"705, Pune Main Rd",C Block,Pune,Maharashtra,411001,India,West,Pune Zone-5,Maharashtra-2,47936,10/17/2024,,Meera Iyer,-131702,str0004@stores.example.com,18.5276347,73.8479319,0,1,74,1,10/17/2024 0:00,,10/18/2024 15:00,12/22/2024 0:00
5,KOL_WB_700001,STR0005,New York Online Hub,Retail,Online Hub,"939, New York Main Rd",B Block,New York,New York,10001,USA,Americas,New York Zone-5,New York-2,11312,10/9/2025,9/8/2027,Neha Bose,-1947,str0005@stores.example.com,40.6955236,-74.0161866,1,1,61,1,10/9/2025 0:00,,10/9/2025 11:00,1/28/2026 0:00
6,PUN_MH_411001,STR0006,Pune Outlet,DC,Outlet,"192, Pune Main Rd",C Block,Pune,Maharashtra,411001,India,West,Pune Zone-4,Maharashtra-2,136377,5/14/2021,,Rahul Bose,-181377,str0006@stores.example.com,18.5118493,73.8495704,0,1,138,1,5/14/2021 0:00,,5/15/2021 13:00,8/21/2021 0:00
123,AHM_GJ_380001,STR0006,Pune Outlet,DC,Outlet,"192, Pune Main Rd",C Block,Pune,Maharashtra,411001,India,West,Pune Zone-4,Maharashtra-2,144440,5/14/2021,,Vikram Chopra,-181377,str0006@stores.example.com,18.5118493,73.8495704,0,1,138,0,1/13/2021 0:00,3/7/2021 0:00,1/14/2021 13:00,3/8/2021 5:00
7,JAI_RJ_302001,STR0007,Ahmedabad Online Hub,Retail,Online Hub,"332, Ahmedabad Main Rd",D Block,Ahmedabad,Gujarat,380001,India,West,Ahmedabad Zone-2,Gujarat-1,15110,1/28/2025,,Aisha Saxena,-127594,str0007@stores.example.com,23.0183936,72.554835,0,1,53,1,1/28/2025 0:00,,1/29/2025 17:00,8/6/2025 0:00
8,LKO_UP_226001,STR0008,Kochi Express,Retail,Express,"759, Kochi Main Rd",E Block,Kochi,Kerala,682001,India,South,Kochi Zone-1,Kerala-2,12137,5/24/2025,,Karan Iyer,-140737,str0008@stores.example.com,9.944494,76.2808066,0,1,56,1,5/24/2025 0:00,,5/24/2025 2:00,7/27/2025 0:00
135,COI_TN_641001,STR0008,Kochi Express,Retail,Express,"759, Kochi Main Rd",E Block,Kochi,Kerala,682001,India,South,Kochi Zone-1,Kerala-2,11792,5/24/2025,,Karan Kulkarni,-140737,str0008@stores.example.com,9.944494,76.2808066,0,1,56,0,7/27/2022 0:00,6/26/2024 0:00,7/27/2022 10:00,6/27/2024 2:00
9,VIS_AP_530001,STR0009,Pune Flagship,Retail,Flagship,"472, Pune Main Rd",D Block,Pune,Maharashtra,411001,India,West,Pune Zone-1,Maharashtra-1,15290,3/2/2022,,Priya Pillai,-186366,str0009@stores.example.com,18.5216035,73.8689563,0,1,102,1,3/2/2022 0:00,,3/3/2022 12:00,6/20/2022 0:00
10,NAG_MH_440001,STR0010,Gurgaon Express,Retail,Express,"960, Gurgaon Main Rd",B Block,Gurgaon,Haryana,122001,India,North,Gurgaon Zone-3,Haryana-2,22647,10/12/2025,,Anita Bose,-188995,str0010@stores.example.com,28.4512307,77.038513,0,1,21,1,10/12/2025 0:00,,10/13/2025 2:00,2/27/2026 0:00
11,BHO_MP_462001,STR0011,Bhubaneswar Flagship,DC,Flagship,"312, Bhubaneswar Main Rd",A Block,Bhubaneswar,Odisha,751001,India,East,Bhubaneswar Zone-1,Odisha-1,115085,10/16/2022,9/5/2023,Karan Agarwal,-98735,str0011@stores.example.com,20.307233,85.8079548,0,1,129,1,10/16/2022 0:00,,10/16/2022 13:00,9/6/2023 0:00
12,IND_MP_452001,STR0012,Patna Express,Pop-up,Express,"421, Patna Main Rd",A Block,Patna,Bihar,800001,India,East,Patna Zone-4,Bihar-3,3581,11/21/2025,2/2/2027,Arjun Mehta,-166385,str0012@stores.example.com,25.5931791,85.1565791,0,0,0,1,11/21/2025 0:00,,11/21/2025 11:00,1/27/2026 0:00
13,GUW_AS_781001,STR0013,Pune Online Hub,Retail,Online Hub,"89, Pune Main Rd",D Block,Pune,Maharashtra,411001,India,West,Pune Zone-3,Maharashtra-1,38432,10/6/2023,,Karan Kulkarni,-114289,str0013@stores.example.com,18.5245603,73.8712681,1,1,109,1,10/6/2023 0:00,,10/6/2023 8:00,2/29/2024 0:00
124,DC_BHI_MH_400615,STR0013,Pune Online Hub,Retail,Online Hub,"89, Pune Main Rd",D Block,Pune,Maharashtra,411001,India,West,Pune Zone-3,Maharashtra-1,34749,10/6/2023,,Arjun Iyer,-114289,str0013@stores.example.com,18.5245603,73.8712681,1,1,109,0,9/3/2021 0:00,10/21/2022 0:00,9/3/2021 1:00,10/22/2022 6:00
14,DC_FAR_HR_121001,STR0014,Chennai Online Hub,Retail,Online Hub,"512, Chennai Main Rd",D Block,Chennai,Tamil Nadu,600001,India,South,Chennai Zone-1,Tamil Nadu-3,39465,7/28/2024,,Kabir Saxena,-154751,str0014@stores.example.com,13.0904175,80.2853581,1,1,16,1,7/28/2024 0:00,,7/29/2024 21:00,10/6/2024 0:00
15,DC_SRI_AP_517501,STR0015,New York Flagship,Retail,Flagship,"864, New York Main Rd",D Block,New York,New York,10001,USA,Americas,New York Zone-5,New York-1,15711,7/20/2023,,Sanjay Kulkarni,-2984,str0015@stores.example.com,40.7326349,-74.0247848,0,1,94,1,7/20/2023 0:00,,7/20/2023 23:00,8/24/2023 0:00
16,DC_SRI_AP_517502,STR0016,Patna Online Hub,Retail,Online Hub,"810, Patna Main Rd",D Block,Patna,Bihar,800001,India,East,Patna Zone-4,Bihar-3,27065,1/6/2023,,Rahul Nair,-151508,str0016@stores.example.com,25.5961275,85.1269021,0,1,49,1,1/6/2023 0:00,,1/6/2023 21:00,10/2/2023 0:00
17,MUM_MH_400001,STR0017,Surat Online Hub,Retail,Online Hub,"251, Surat Main Rd",D Block,Surat,Gujarat,395003,India,West,Surat Zone-1,Gujarat-3,37346,6/25/2021,,Kabir Iyer,-135310,str0017@stores.example.com,21.165288,72.8155614,1,1,57,1,6/25/2021 0:00,,6/25/2021 2:00,6/20/2022 0:00
